R0,R1,Steps,abs(R0-R1)
18314,18294,6463,20
19811,9,15457,19802
27893,27946,3797,53
30444,6765,7943,23679
1431,5727,3375,4296
16,18575,8244,18559
4555,9106,8021,4551
17570,17588,6914,18
30474,30509,6191,35
5095,10179,3317,5084
7758,6206,5472,1552
25659,54,3371,25605
6,17301,20203,17295
6087,24335,3366,18248
20097,20147,2971,50
4071,20361,4807,16290
30353,19,11268,30334
44,30067,4916,30023
32509,16262,7674,16247
18823,28228,5158,9405
19415,12481,9771,6934
16266,27108,6369,10842
25269,24,7428,25245